id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
90dc73e8-41cc-47ba-88d5-66eb2df93ec7,Pine Valley 1,$650000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
82948d7d-fc65-45c0-bf92-be231c5470a4,Pine Valley 2,$700000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
22816a23-a5d5-4c55-a30d-541302f8811c,Pine Valley 3,$750000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
18d9b83b-69d1-46cb-854d-85227e2cb738,Pine Valley 4,$800000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
bab6bbcd-ab16-4b64-b12a-d1668cb4023a,Pine Valley 5,$850000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
2b8baed4-5727-42c3-a448-23ca55940652,Pine Valley 6,$900000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
c921e36a-9817-4a06-8026-e13274eee4a6,Pine Valley 7,$950000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
97613ae7-b68e-4a1f-af11-9b9d279244a0,Pine Valley 8,$1000000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
65455485-cbc1-4d66-b3a7-35cf45bf93d0,Pine Valley 9,$1050000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
143b4e2a-05a6-4cd3-995e-a6a6c22be01e,Pine Valley 10,$1100000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
b264e2f0-8408-4c36-aa18-562426d35bbe,Pine Valley 11,$1150000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
036e6816-cbf9-4b83-90a0-9a0dddf3b2f2,Pine Valley 12,$1200000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
108a507e-5b6f-4855-863e-5b0a60b2ce34,Pine Valley 13,$1250000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
8b4737a0-fd00-480f-b51a-8a7006f383a4,Pine Valley 14,$1300000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
59061765-219e-4fb3-adeb-c01215b97213,Pine Valley 15,$1350000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
7e9107e0-1a82-4a5c-a073-ce533e364b74,Pine Valley 16,$1400000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
5235b31b-672c-4dc0-aec2-b7f679b59ab0,Pine Valley 17,$1450000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
a346d06f-9c23-4b4b-9464-4a743e051930,Pine Valley 18,$1500000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
9a14ad6f-ab99-4d59-b47e-693aba950b9f,Pine Valley 19,$1550000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
463a2aca-3db2-4bcd-9a7a-7406de2a935b,Pine Valley 20,$1600000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
ad0088e6-3dae-4431-b3b1-9ac1d96768a8,Pine Valley 21,$1650000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
01ede065-d6d2-40f1-ae47-e571af916aa3,Pine Valley 22,$1700000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
88451d5e-4c86-4105-aca7-be6157bd4c46,Pine Valley 23,$1750000,4,3,"2,800 sqft","Modern 4-bed home with open floor plan, gourmet kitchen with island, and master suite with spa-like bath. Features smart home tech and a landscaped backyard.","Pine Valley offers suburban peace with top schools, parks, and easy highway access. Close to shops and dining."
